montoConseguido,titulo,moneda,meta,contribuidores,porcentaje,descripcion,enlace
500,Help Brendan Tucker see colours!,Australian Dollar,500,11,100%,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/51HJed
376,Help me get Enchroma glasses for Kyle Shurm,U.S. Dollar,500,21,75%,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/41N55c
450,Help Michael see color.,U.S. Dollar,450,5,100%,"WHO AM I? My name is Michael Kirk and I'm a
      pencil artist living in Pickens County Alabama.  Many people know
      of my work, but most of them don't know that I draw in black and
      white because I have trouble seeing color.  I have a condition
      known as anomalous trichormacy, which is a fancy way of saying I
      am not totally colorblind, seeing the world in black and white,
      but, rather, I'm color deficient.  My specific condition is known
      as Deuteranomaly or ""weak green"" vision. People like me refer to our type of
      colorblindness as ""color confusion"" because that most
      accurately describes what it is.  Even though I can't see green
      like I should, it affects my other colors as you can see in the
      simulated image below: Seeing the world this way creates some
    frustration from time to time.  Purples can look blue.  Greens can
    look brown.  Even a red stop sign can blend in with the green trees
    behind it and trying to tell which traffic light is illuminated can
    be an outright guess in certain lighting conditions. One of my first artistic experiments was
    with colorizing old black and white photos.  I knew I could be a
    little confused by colors, but at the time I had no idea I had a
    type of color deficiency and bravely colored a few photos, trying to
    be as accurate as I could.  When I showed them off, people told me I
    had chosen a pink that was much too bright for someone's lips or
    that I had chosen a bright green instead of yellow.  I haven't
    recolored any photos since then because I was embarrassed to make so
    many mistakes. I later learned I was truly
    colorblind while browsing t-shirts on the Internet one day.  I found
    a picture of a shirt with a bunch of differently colored green
    circles on it, but I didn't get why it was supposed to be funny. 
    Upon reading the comments, I learned that it was styled after
    an Ishihara test and that normal people could read the caption: 
     ""F*** the Color Blind.""  I was unable to read it.  :( After that harsh revelation, I decided to
    test myself and found some real Ishihara test patterns to confirm my
    fears.  Yes.  I was color blind.  In a way I was disappointed, but
    at the same time relieved to finally have an explanation why I got
    so confused by color.  I wasn't dumb.  It wasn't because I didn't
    pay enough attention.  It wasn't my nearsightedness or glasses.  I
    just couldn't see color like everyone else.  It was vindication.  It
    was closure.  And I accepted it (I had no choice). Back when I first learned I was
      color blind/color deficient, there was not much anyone could do
      about it, but then I saw a video on FaceBook of a color blind man
      seeing the color of his children's eyes for the first time and I
      was fascinated.  His family had given him a pair of, what appeared
      to be sunglasses, as a gift and he could see new colors with
      them.  What he saw moved him to tears.  I wanted to see color like
      that!  Itching to know more, I researched the video and that was
      when I first learned about Enchroma glasses. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions WHY I NEED YOUR HELP. Because Enchroma glasses are new to
    the market and because of my nearsightedness (I have to order a
    custom prescription), I cannot afford the cost to get my own pair
    easily.  A basic pair costs $350 or more (depending on frame
    type/model) and a prescription fee is $150. If enough people help me get the
    frames I want, I can cover the prescription fee.  I appreciate you
    taking the time to read all the way down here to the bottom.  I hope
    to reach my goal before Autumn or Christmas so I can see all the
    different colors of the trees and the decorations of the holiday season. Thank you for your time.  :)",https://fundrazr.com/d1Nhaf
930,Aidens Cystic Fibrosis Physio Vest,Pound Sterling,10 000,48,9%,"Aiden aged three has suffered with cystic fibrosis since he was three weeks old and we want to help him as much as we can! We are keen to raise money to purchase a physio vest to loosen the mucas on his lungs and to reduce recurrent chest infections which will improve his quality life. The vest is £7,000 plus insurance which is a huge amount of money. It would be used as an additional method of physiotherapy but would increase his chances of a healthy long life. Cystic Fibrosis (cf) is a life shortening inherited disease, affecting almost 10,000 people in the UK.  It is caused by a faulty gene. The gene controls the movement of salt and water in and out of your cells, so the lungs and digestive system become clogged with mucas, making it hard to breathe and digest food. Although Aiden looks well most of the time, his insides are not. It is not always visible but that does not mean he is ok! There is no cure for CF  and only half of the population in the UK will live past 41. We want Aiden to be one of them! If you can help Aiden and his family please donate to one of the many events we will be organising or online. Any donations will be most appreciated and make a huge difference to a gorgeous boys life. Thank you in advance.",https://fundrazr.com/2UUPb
200,HELP KIMBERLY T. RAISE FUND FOR HER HUSBAND CANCER,U.S. Dollar,8000,1,3%,"Robert Trey, diagnosed with operable cystic carcinoma of the
    pancreas in 2018. March 2018, I’m 42, look well, feel well, fit, leading a healthy
    lifestyle and looking forward to what life has in store for me. Then
    the bombshell drops. Diagnosis – Cystic carcinoma of the Pancreas.
    Cystic what!? Panic sets in. I’m 42, this can’t be happening. CT Scans, ultrasounds, appointment after appointment, blood tests,
    trips to various hospitals, calls with my insurer, work, clients,
    candidates, family, friends. The whirlwind hadn’t just started, it
    was tearing through every emotion, relationship and responsibility
    in my life. And it wasn’t letting up. We see things relating to cancer all the time. Stand up to cancer,
    cancer research adverts, Macmillan charity collectors, friends and
    family raising money on Facebook. It’s everywhere. But it only
    really becomes relevant when it’s happening to you. It’s only then
    that you properly reflect, truly understand what it means and more
    importantly the impact it has on your life and all of those around you. The doctor called, I needed an operation. And what an ordeal it was. I was told by my surgeon that they were
    going to remove 2/3 of my pancreas, a procedure called a distal
    pancreatectomy, along with removing my spleen and 16 lymph nodes.
    Woah… Hold on, 2 weeks ago I went to the doctors complaining of
    slight bloating, now I’m having 2 of my organs removed? A cyst, measuring 15cm x 10cm x 10cm, had attached itself to my
    pancreas and the consultants were unsure whether it was benign or malignant.",https://fundrazr.com/b1MyRb
400,Help us allow VFW to see COLOR!!,U.S. Dollar,500,7,80%,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/b1MGA5
4804,Jack Friends Against Cancer - ACT NOW!,U.S. Dollar,100k,58,5%,"DONATE As
  much or as little as you can - It will all help and it all matters to Jack! ""All"" funds will be used to offset any treatment costs not
  covered by medical insurance and to help Jack and his family manage
  additional financial concerns such as ancilliary bills/expenses
  related to his care and potential loss of income while he is being
  cared for. 100% of any funds left over will be donated to a child cancer
  (Neuroblastoma) charity - to continue the fight for other children. GO VIRAL! Share this page with as many people as you can! By ""Going Viral"", you will radically increase the odds of
  Jack getting the help that he needs. There are many good people out
  there that may care enough to help - we just have to let them know
  that they can - and that it will make all the difference! MY THOUGHTS While our world has been so harshly upended, I will also tell you
  that I believe, in my heart of hearts that HE WILL get through this! Though Jack's life has suddenly become a life of hospitals & of
  change, that he has demonstrated resilience, courage & a tolerance
  for his situation that most likely, you or I could not. He is a little
  trooper who has still not lost his goofball nature! Love always, Amanda aka Mom",https://fundrazr.com/friends-of-jack
655,"Heart  to Heart, Louie Shaw",U.S. Dollar,75000,4,1%,"My name is Joe Carpenter. I live in Chugiak Alaska, a short ride from
  Anchorage, Alaska.  My wife, Leslie and I are spearheading a fund to
  help our very wonderful close friends, Louie and Kimmie Shaw of
  Chugiak also. Louie is enroute by air medivac  today from Anchorage to
  Califorina to be entered into Cedars Sinai Hospital heart recipient
  program. Yes were talking heart transplant. Louie has been managed for
  some 18 plus years by Cardiologist at Alaska Heart Institute for heart
  failure following a viral infection that affected his heart many years
  ago. Treatment had been very sucessfull in these years gone by. Louie
  has lived life to its fullest pursuing all the passions of family,
  friends, hunting ,fishing and work on the North Slope oil fields with
  vigor. In the last six months his heart started changing, but not for
  the better. Simple tasks became laborsome with shortness of breath,
  fatigue and a host of related heart failure symptoms. He did not
  return to work in May as he felt unable to do his job there. His
  Cardiology team confirmed his heart was failing substantially. The
  Doctors at Heart Institute began the proccess to enroll him for heart
  reciepent program at Cedars Sinai. Saturday June 30th, Louie is on his
  way by air medivac to that hospital to enter thier program. We know that this is the best path for his survival in this
  downward turn of events in his heart failure. Cedars is the one of the
  premier facilities in the nation for this procedure. Louie is going
  there to wait for the gift of life. He has a great health insurance
  program that will meet most of his medical financial needs. Kimmie,
  his wife will need to remain in Los Angles for weeks to come. In
  recovery, Louie will need to reside there for possibly months.
  Financal obligations here at home in Alaska will not cease to
    be. THE PURPOSE OF THIS FUNDING PROJECT ARE ; 1.
  Partner with Louie and Kimmie to meet thier home away expenses in Los
  Angles.  2. Sustain all their financal obligations here at home in
  Alaska. 3. Assist with family members travel to them at needed times. This is a mouthful if you think about it. We want you to JOIN
  US to come alongside these two wonderful people and bolster
  their oncoming need. Louie and Kimmie have agreed to this project and
  express to you in advance a HEART felt Thank You for your
  considerations. Louie has said to me many times in the last weeks,
  that God has always been there to meet thier needs in life and Louie
  is certian God will be there for them now. Louie has always lived a
  lifesyle to be there for others. He has often helped me with many
  things. There are many of you out there who can say the same. Myself,
  Willy Pomeroy from Chugiak & Scott Veitmier from Wasilla will co
  manage this fund at Credit Union 1/ Eagle River. The account name
    "" HEART 2HEART/ LOUIE SHAW"". .    will
  hold from donations  and inturn be ditrbuted to meet Louie & Kims'
  needs. You may also Depost directly at this branch or any CU1 for this
  need if you would rather. Your gracious consideration is requested!  A LIFE OF GIVING IS ONE
  WORTH LIVING! ALL WHO KNOW THIS MAN, KNOW HE IS MORE THAN WORTHY OF OUR HELP NOW,
  PLEASE DONATE. OUR INITIAL GOAL IS $75,000..... THANK YOU IN ADVANCE JOE & LESLIE CARPENTER   (we will udate this site with Louies
  status regularly)",https://fundrazr.com/71N1O0
15725,Ride to Give - Supporting Pray for Anna,U.S. Dollar,157 000,704,100%,"7-year-old Annaston Cox of Altha, FL was born with a Congenital Heart
  Defect called Mitral Valve Prolapse with Insufficiency as well as
  Graves Disease. At the age of 3, she had her first open heart surgery
  to repair a valve, at Shands Children’s Hospital in Gainesville, FL.
  Just before she was taken back for surgery, Anna was given a shot of
  Ativan for separation anxiety, but within seconds she went limp and
  quit breathing. Anna had gone into anaphylactic shock and needed to be
  intubated. Thankfully Anna’s surgeons were able to stabilize her and
  proceed with repairing the valve. After surgery, Anna started gaining
  weight and truly living life to the fullest. She was just like any
  other child… she played t-ball, cheered for the county league football
  team, and competed with the Kitty Katz cheer competition squad up
  until March 2018 when everything changed. Last Winter, Anna started having severe headaches, high fevers,
  unexplained exhaustion, night sweats, and she refused to eat. She
  began to wake during the night screaming about head pain and became
  unable to walk or climb in or out of bed. Her parents, Ron and Tanya
  Cox, grew increasingly concerned and took Anna to her pediatrician
  several times. Blood was drawn twice a week for a month, along with
  frequent X-rays and CT scans but Anna’s doctors were stumped, saying
  it was either a blood disorder or autoimmune disease. Anna continued
  to suffer. At her wit's end, Tanya demanded answers, refusing to leave the
  pediatrician’s office until she got them. That same day, April 4,
  2018, Anna was admitted to Tallahassee Memorial Hospital where after
  even more testing they still had no definitive answers except that
  Anna might have an autoimmune disease, Meningitis or a bone marrow disorder. On April 7th, 2018, Anna was transferred by ambulance to the Cardiac
  ICU at Shand’s Children’s Hospital in Gainesville. A few hours after
  they arrived, the Cox were told that Anna had Infective Endocarditis;
  strep bacteria had entered her bloodstream and settled on her Mitral
  Valve. Anna was started on aggressive antibiotics, and numerous
  additional tests were run. When Anna’s eyes were checked, the doctor
  noticed that her optic nerves were swollen and her pupils didn’t react
  to light as they should, so an emergency MRI was ordered. While lying in the hospital bed comforting her daughter, a
    team of doctors came in and told Tanya that the MRI had shown
    several small blood clots on both sides of Anna’s brain and that she
    had already had a few “silent” strokes. The pressure from the blood
    clots explained why Anna’s optic nerves were swollen as well as her
    severe head pain. Then Tanya was told the devastating news that they
    had found an aneurysm on the back of her brain and in at that moment
    Tanya realized how truly sick Anna was and was heartbroken. Anna needed her infected valve replaced with a mechanical one, but
  the heart surgeon chose to wait because there was a strong chance of a
  major stroke if her aneurysm burst. Anna’s neurosurgeon was concerned
  because the bacteria was settled on the valve which was still
  producing blot clots. They knew any one of those clots could be fatal.
  The Cox were told without the heart valve replacement Anna would have
  a heart attack, but there was still a strong chance she could suffer a
  deadly stroke. Ronald and Tanya struggled with this decision for two
  weeks until a blot clot moved into Anna's lung and the decision was
  taken out of their hands. On May 1, 2018, Anna had open heart surgery, and her damaged heart
  valve was replaced with a mechanical valve. Thankfully the surgery
  went well, and the doctors were able to remove all the bacteria. In
  the days to follow, Anna was recovering so well that her doctors began
  discussing a discharge date to the step-down unit, but that all
  changed on May 5th, 2018 when Anna woke up around 3 am screaming for
  help. Tanya ran to the bedside and found Anna sitting straight up with
  her eyes fixed to the right and her arms and legs drawn up and rigid.
  Tanya's sweet daughter couldn't see and the head pain was unbearable. Tanya knew in her heart that Anna was having a stroke and just
    as the hospital staff rushed into the room, Anna went limp and quit
    breathing. After being stabilized, Anna had an emergency craniotomy to
  evacuate the hemorrhage that had caused the stroke. Because she had
  just had major heart surgery three days earlier, the neurosurgeon gave
  Anna 2% chance to live through the procedure. The Cox's were told that
  Anna would most likely never awaken following surgery because of the
  extensive damage to her brain. They said she would probably be in a
  coma and on a ventilator and have little to no quality of life. On June 11th, 2018, Anna was transferred to Brooks
    Rehabilitation for in-patient therapy but was discharged on June
    26th because she made little progress during her two weeks stay. So
    with no preparation and still waiting for Anna’s insurance to
    update, the Cox's brought their daughter home. The past two
  months have been emotionally, physically, and financially draining for
  Tanya, Ronald, and their three other children. They have had to travel
  roughly three hours each way from their home in Altha to Anna’s
  specialist, all with two-year-old Branson in toe. Ronald is the
  manager at Roadmart in Marianna, FL and while management has been very
  understanding, his frequent absences from work have had a negative
  impact on the family finances. Anna is almost three months post-surgery and still is unable to say
  any words, follow commands, or communicate. The neurosurgeon told the
  Cox family that sadly Anna’s overall long-term prognosis is poor, but
  Tanya and Ronald refuse to give up on their daughter. There are so
  many things that are needed for Anna that insurance has yet to approve
  or may not cover. The Cox's want to provide the best possible future
  for Anna, but without the necessary equipment, it has been
  challenging. What Anna really needs most is a wheelchair, a
    stander, and a special needs activity seat so she can do therapy at
    home as well as become more mobile. Also, at this time their
    insurance is not covering her tube feeding, so they have to cover
    the $800 a month cost of her supplies out of pocket as well. When Ride to Give read Anna story we knew we had to support
    Tanya and Ronald as they do their best to provide as bright a future
    as that can for their daughter. The funds we raise will
  help fill in the financial gaps while they await insurance decisions
  regarding Anna's equipment needs, her tube feeding supplies, and help
  cover the costs for now twice-weekly trip Gainesville to see Anna’s
  medical team. Please help Ride to Give as we support this sweet family
  by making a tax-deductible donation. You may follow Anna's journey by liking her Facebook page, Pray for Anna for updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has
      complete discretion and control over the use of all donated funds.
      Questions about how your donation is used can be answered by
        clicking here. Please
      visit Ride to Give on the web at www.ridetogive.com or on Facebook
      at www.facebook.com/ridetogive.",https://fund.ridetogive.com/81O70a
1740,Helping “Our HERO”...Theresa Brainard,U.S. Dollar,127 000,18,65%,"Helping “ OUR HERO ”... Theresa Brainard Our DEVOTED family member and AMAZING friend to many, is
    currently recovering from foot surgery, as well as five shoulder
    surgeries, and will shortly face a total knee replacement. Being
    unable to work during this difficult time, we all know the financial
    strain it can cause. So please, come out in support of a woman that
    we all know has supported each and every one of us!!! “Our Family”, Our Friend”, “ OUR HERO !!!” Theresa Brainard Please join us Saturday June 2nd, 2018 @ Famous Tim’s Tavern from
  7-9pm @ 5 Polly Drummond Shopping Center Newark, DE Tickets: $20 per person/ includes beer & pizza 50/50, Chinese & Silent Auction!!! Stay tuned for previews!!! 100% of proceeds to assist with Theresa’s medical cost!!! Contacts: aleciagharrar@gmail.com ( Alecia) brainard1@comcast.net (Rose) 302-999-0098.                   (Geri) pearljamfan_44@hotmail.com (Jill)",https://fundrazr.com/f1LlX5
240,"Enchroma glasses, the Chuck fund.",U.S. Dollar,579,3,41%,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/11Mx98
1262,Help get Kris back on her feet.,U.S. Dollar,2000,16,63%,"On May 15th, 2017 I was in an ATV accident resulting in a surgery to
  place a plate and screws into my leg. On July 1st a severe bone
  infection was discovered and treatment with IV antibiotics began. I
  was then transported from a hospital in Pagosa Springs, CO to San Juan
  Regional Medical Center in Farmington, NM. Since my initial operation
  on May 15th, she has had 9 operations and will have at least 3 more. The first was to clean the wound. The second was a follow-up surgery
  to ensure maximum cleanliness. After a couple of days, the doctor
  noticed a blister that forming on my wound so he preformed another
  operation. This time, to remove the plate and 8 screws that had gotten
  infected. The doctors later found that my bone had started getting
  infected where the hardware was initially placed so they performed
  another surgery to put an antibiotic rod in her bone meant to treat my
  inner bone infection. The last 9 months have been some of the most physically painful days
  I’ve ever had to face to date and I will need additional surgeries to
  get a bone graph and to remove this external fixator that I currently
  have on my right leg. I will have to wear this fixator for 8 more
  months to ensure my leg heals correctly. It has been painful both
  mentally and physically. This would've been my 8th year as a wildland firefighter, which is a
  major source of my primary income. I am and be unemployed until my
  recovery is complete. The monies being raised are to assist my family with gas, food, and
  lodging as they travel three hours each way to and from Dulce, NM to
  Albuquerque, NM for additional appointments as well as surgeries. They
  will also assist myself with bills as I am unable to work during my
  recovery period. I am a member of the Jicarilla Apache Nation and International
  Indigenous Youth Council. I defended the water for several weeks in
  Standing Rock, ND and recently completed a lengthy art project for
  Honor the Earth. Any support to help me as I recover this period is
  greatly appreciated. Please help me get back on my feet so I can help
  my brothers and sisters to protect this land and help our native
  communities. Thank you, Kris.",https://fundrazr.com/51L9Q5
2610,Art Fundraiser To Support Sookie & Jake's Recovery,Canadian Dollar,25 000,38,104%,"As many of you know, Sookie and Jake are the loves of my life.
  They've softened my grumpy guarded heart, taught me how to love and
  have a little more trust in this world. They will both be spending
  this summer in recovery and I am trying to raise some funds to support
  the cost during this time. Sookie had a surgery on her left knee a few years back and has never
  fully recovered. She continues to experience mobility issues, pain and
  can no longer be by my side day to day. In addition my partner Jake
  will be undergoing surgery this summer and will be in recovery for 2
  months.  The surgery will be happening in the US and all medical
  supplies will be paid for out of pocket. ALL funds raised will directly support: Ongoing vet bills
  (x-ray/tests/treatment), medication and supplements, as well as
  medical supplies for surgery. I don’t feel comfortable asking for help without providing something
  in return so I’ve added lots of “perks” as this website calls them. I
  am an artist so please take this opportunity to get some prints and
  shirts from me. WHY HYENAS? Hyenas are perhaps one of the coolest queerest animals and you should
  celebrate them. ""Hyena energy"" is something I have coined to
  describe a type of connection that I have with others. It is a dark,
  queer, mischievous and rebellious energy. An energy that is seductive,
  chaotic, vicious, a little destructive but ultimately spontaneous,
  indulgent, compelling and dangerous. It is important to acknowledge
  that hyenas are recognized as magical, powerful animals in various
  cultures and traditions around the world. If Jake and I were an animal we would be a hyena. When we met Sookie
  she looked and acted like our little hyena from day one and continues
  to be the perfect addition to our pack. To help raise funds to support both of my little hyenas, I've created
  hyena t-shirts and prints. My dear friend Eli Howey (""Uncle
  Eli"" to Sookie ""My Other Boyfriend"" to Jake) has
  generously donated 31 prints for this fundraiser. Kiana (a.k.a.,
  KRIVVY our “Foster Child” and “Sister” to Sookie) has donated 20
  special edition art packs with 7 one-of-a-kind, handmade and protected
  stickers, 2 magnets and one 2 x 3 original signed drawings per pack.
  I'd like to thank Roya DelSol for donating her time and talent by
  taking photos of the prints and t-shirts. Please support my little hyena family. ❤ NOTE For those in Toronto we will be able to deliver prints and t-shirts
  or arrange for pick up at the Margin of Eras Gallery in Parkdale (1684
  Queen Street West, closest major intersection is Roncesvalles and
  Queen). Shipping is included in the base cost of the perk locally. Any
  purchase of a print or t-shirt that isn't local will be $10 extra.",https://fundrazr.com/hyenafamily
7834,Standing with & Support for Lisa P's Breast Cancer,U.S. Dollar,25000,58,31%,,https://fundrazr.com/lisapbreastcancerfight
250,Please help with Linda's Colon Surgery and Bills,U.S. Dollar,65 000,2,4%,"Hi, my name is Linda. First, please let me ask you to share this on your pages, the farther
  it reaches the better! I am reaching out to all of you in need of assistance in paying
  medical bills. Not sure how many of you have heard, but I recently underwent
  emergency colon surgery. I went to the local hospital and they had to immediately transfer me
  to a bigger hospital for emergency surgery.  I was informed that if I
  had not came in exactly when I did, that I more than likely would have
  died that night in my sleep. As I'm sure you know, that scared me and I started thanking God that
  I got there when I did. While I am very thankful to be alive and hopefully healed up
  eventually, I now have a few large medical bills I was not expecting
  to have and am not sure how I will afford as I recently retired from
  truck driving after over 20 yrs. So again, I am reaching out to any and all of my friends and friends
  of friends to please help me out. I know everyone is in need of help at one time or another, and for
  people that know me, they know I am the first one to offer help when I
  am able. I am not used to needing to ask for help, so I am out of my territory
  here, but I am in need now, so please help me in anyway you can. Every Little Bit Helps!!! I would like to thank everyone in advance for any and all help I receive. THANK YOU!!",https://fundrazr.com/81O566
100,Help Michael get Enchroma Glasses,U.S. Dollar,349,2,29%,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/31Lvz5
250,Car help,U.S. Dollar,1000,4,25%,,https://fundrazr.com/61Nt7a
590,Jessica's MS alternate treatment,U.S. Dollar,22000,6,3%,"1. Hi, My name is Alfonso Velazquez, I'm from Mexico city and I'm
  married to Jessica Maury. We went dating for 10 years and then married
  in 2009. I'm a digital marketer and  a wedding photographer and she is
  a dentist with specialty in orthodontics. 2. When we were 1 year into our marriage Jessica was diagnosed with
  MS because she started to get vertigo and went tired pretty quickly.
  Things escalated fast and by the next year the was on a wheelchair. So
  we started looking for treatment, fortunately we eventually found a
  drug that does very well with her, she changed all her alimentation
  habits and with therapy she walked again, with difficulty but can do
  must of the tasks and have mostly a normal life. 3. The money is because the drug she needs to take is about $4000 USD
  monthly (is called Gilenya /Fingolimod) the drug is partly covered by
  our insurance but and plus the therapies and other drugs for symptoms
  things are getting harder for us, also she suffers from a lot of
  spasticity and therapy is not covered by the insurance 4. We are looking for your help to stabilize the bills and keep
  looking for alternative treatments for us to keep going with the best
  life quality we can get, also to make Jessica believe that even if
  things are complicated there's always light and good people to
  confront darkness. 5. We want to ask for your support and to really offer you that
  anytime you come to Mexico city come with us so we can get you to know
  the city I will take incredible photos of you and your family and
  maybe Jessica can check your teeth heath. We know there are lots of
  people out there in need of help and our case may not be the hardest
  one, but we try to also help who ever needs it. so hopefully with your
  help and support we can create a solid chain of favors. Thanks and god bless.",https://fundrazr.com/f1GRT4
1265,Betty's Blessings: The Colors of Alzheimer's,U.S. Dollar,1000,47,126%,"Meet Betty. A vibrant, loving, funny woman
    from Omaha. Cried the entire trip to Southern California sixty years ago. Betty is a mother of four, Grandmother to seven,
    Great-Grandmother to three. Betty is also a sister to two brothers.
    Betty loves her family. To meet Betty is to love Betty. She will
    love you when you don’t deserve it. She will feed you when you are
    full. Betty loves you when nobody else does. Meet Bill , Betty’s brother. Bill was the
    youngest diagnosed case of Alzheimer’s in the US when diagnosed, at
    the age of 48 and succumbed to this disease. Meet Frank ,
    Betty’s other brother, after watching his brother succumb to
    Alzheimer’s, he too fell victim to it. Betty buried her two brothers from this disease. It wasn’t easy.
    The process was financially and emotionally painful. Betty doesn’t
    know she has Alzheimer’s. We don’t tell her. She can’t know. She
    knows its path and it’s destruction. Betty thinks she’s just getting
    forgetful. Betty will never hear that word come out of our mouth.
    She’s seen it enough. She deserves better. To know Betty is to hear her cackle laugh and to eat her amazing
    cookies. Betty hasn’t baked in years. Her cupboards are empty and
    the cookie sheets haven’t seen dough in years. Betty doesn’t
    remember the cookie jar is empty. Oh the cookie jar, the rite of
    passage when entering Betty’s home and the closest route to her
    heart. Betty doesn’t remember how to make cookies. So she colors. 
    With pencils. With abandon. With her heart. A creative outlet never
    known to her prior to Alzheimer’s. It soothes her. It’s the only
    thing that doesn’t frustrate her. It’s not a name or a place. It’s
    not a memory. So she colors. Betty loves her colored pictures and they grace the walls of
    many homes and she is proud of that. Her granddaughters started
    having her sign them and she finds it absolutely hilarious (and
    wonderful) that people want to hang her art in their homes. To
    support the Alzheimer’s Association we are making Betty’s framed
    colorings available for purchase. Each framed coloring is
      $20 (this includes everything, from the frame, to
    shipping). Let a piece of Betty smile upon you daily. We want Betty's Blessings to hang in your home and remind you to
    spend time with your loved ones. When you look at your piece, we
    want it to serve as a reminder to call your own grandmother or
    grandfather, to ask them stories about their childhood, to inquire
    about where they grew up, and to soak in all they have to teach you.
    We want you to call your mom or dad up and ask if all the family
    recipes are recorded, and if they aren't, we want you to start doing
    that. Our memory is a gift that not all are blessed to maintain, so
    while it's there, appreciate it. As our mother, our grandmother, our
    wife, Betty has blessed us for so many years with her love, her
    cooking, her ""happy birthday"" messages and her
    way-to-early-Christmas shopping. If Betty's Blessings can make even
    a small impact on families outside of our own, we know she will be
    happy, even in spite of this terrible disease. Plus, she's been
    begging us to ""get a job"" every day for a while now, and
    this will give her one! To order, please donate through this platform and there will be
    a place for you to enter your address for shipping purposes. If you
    donate more than the requested $20, please specify if you want more
    than one piece. If you have a request, please send the requested picture to orderbettysblessings@gmail.com before donating so
  we can make sure we are able to have her color it for legal purposes.
  No color requests please - we want Betty to use her complete creative
  freedom in her pieces. General theme requests are welcomed as well
  (flowers, cities, etc.) All proceeds go to the Alzheimer’s Association. All questions or inquiries: orderbettysblessings@gmail.com",https://fundrazr.com/51MX48
